fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated,DatesyncNPD
GJØA,Utbygging,"Gjøa ligger i den nordlige delen av Nordsjøen, 50 kilometer nordøst for Troll. Vanndybden er 360 meter. Gjøa ble påvist i 1989, og plan for utbygging og drift (PUD) ble godkjent i 2007. Feltet omfatter flere segmenter. Utbyggingsløsningen er en halvt nedsenkbar produksjons- og prosessinnretning tilkoblet fem havbunnsrammer med fire slisser. Feltet drives delvis med kraft fra land. Produksjonen startet i 2010. PUD-fritak for en reutvikling av P1-segmentet, inkludert en ny havbunnsramme med fire slisser, ble innvilget i 2019. Vega-, Duva- og Novafeltene er tilknyttet Gjøa.",4467574,13.12.2023,28.05.2024
GJØA,Status,"Produksjonen fra Gjøa har begynt å avta. Det jobbes med å opprettholde produksjonen og modne frem nye muligheter som naturlig gassløft, tilleggsbrønner og feltnære letemål.",4467574,13.12.2023,28.05.2024
GJØA,Utvinning,Feltet produseres med trykkavlastning. I de sørlige segmentene ble oljeproduksjon prioritert de første årene. Gassnedblåsning (produksjon av gass fra gasskappen) startet i 2015. Lavtrykksproduksjon ble implementert i 2017.,4467574,28.02.2023,28.05.2024
GJØA,Transport,"Stabilisert olje eksporteres i en rørledning som er koblet til Troll Oljerør II, for videre transport til terminalen på Mongstad. Rikgass eksporteres via rørledning til Far North Liquids and Associated Gas System (FLAGS) på britisk sokkel, for videre transport til terminalen Shell-Esso Gas and Liquids (SEGAL) i St. Fergus i Storbritannia.",4467574,28.02.2023,28.05.2024
GLITNE,Utbygging,"Glitne ligger i den sentrale delen av Nordsjøen, 40 kilometer nord for Sleipner-området. Vanndybden er 110 meter. Glitne ble påvist i 1995, og plan for utbygging og drift (PUD) ble godkjent i 2000. Feltet ble bygd ut med seks horisontale produksjonsbrønner og en vanninjeksjonsbrønn, koblet til produksjons- og lagerskipet Petrojarl 1. Produksjonen startet i 2001.",1272071,28.02.2023,28.05.2024
GLITNE,Transport,Olje fra Glitne ble prosessert og lagret på produksjonsskipet og eksportert med tankskip. Overskuddsgass ble injisert i Utsiraformasjonen.,1272071,28.02.2023,28.05.2024
GLITNE,Reservoar,Glitne produserte olje fra sandstein av paleocen alder i den øvre delen av Heimdalformasjonen. Reservoaret er i et dypmarint viftesystem på 2150 meters dyp.,1272071,28.02.2023,28.05.2024
GLITNE,Utvinning,Feltet ble produsert med trykkstøtte fra en stor vannsone i Heimdalformasjonen. Assosiert gass ble brukt til gassløft i de horisontale brønnene fram til 2012.,1272071,28.02.2023,28.05.2024
GLITNE,Status,"Glitne ble stengt ned i 2013, og disponeringsarbeidet ble ferdigstilt i 2015.",1272071,09.12.2023,28.05.2024
GOLIAT,Utbygging,"Goliat ligger i Barentshavet, 50 kilometer sørøst for Snøhvit. Vanndybden er 360-420 meter. Goliat ble påvist i 2000, og plan for utbygging og drift (PUD) ble godkjent i 2009. Feltet er bygd ut med en sylindrisk flytende produksjons- og lagerenhet (Sevan 1000 FPSO), inkludert åtte bunnrammer med totalt 32 brønnslisser koblet til innretningen. The produksjonen startet i 2016. Goliat fikk innvilget PUD-fritak for Snaddreservoaret i 2017, og for Goliat Vest segmentet i 2020. Produksjonen startet i henholdsvis 2017 og 2021.",5774394,03.01.2024,28.05.2024
GOLIAT,Utvinning,Feltet produseres med vanninjeksjon som trykkstøtte. Ekstra trykkstøtte kommer fra reinjisering av produsert gass.,5774394,28.02.2023,28.05.2024
GOLIAT,Transport,"Oljen lastes over på skytteltankskip og transporteres til markedet. Fremtidig gasseksportløsning er planlagt via Snøhvit rørledningen, og videre til prosessanlegget for flytende naturgass (LNG) på Melkøya ved Hammerfest.",5774394,13.12.2023,28.05.2024
GOLIAT,Status,Regulariteten i produksjonen har vært lavere enn forventet siden produksjonsoppstart. Kontinuerlig vedlikehold og modifikasjoner samt flere revisjonsstanser har gradvis forbedret regulariteten for innretningen. Det vurderes en løsning for gasseksport for Goliat som vil bidra til å forlenge feltets levetid. Flere tilleggsbrønner har blitt boret siden oppstart. I 2021 og 2023 ble funnene 7122/6-3 S (Rødhette) og 7122/8-1 S (Countach) påvist i området nord for Goliatfeltet. Det planlegges flere tilleggs- og letebrønner fremover.,5774394,19.12.2023,28.05.2024
GOLIAT,Reservoar,Goliat produserer olje fra sandstein av trias alder i Kobbe- og Snaddformasjonene og i Kapp Toscana-gruppen (Realgrunnen undergruppe) av trias til jura alder. Reservoarene har tynne gasskapper og ligger i en kompleks og segmentert struktur på 1100-1800 meters dyp.,5774394,28.02.2023,28.05.2024
GRANE,Transport,Oljen fra Grane transporteres i rørledning til Stureterminalen for lagring og eksport.,1035937,28.02.2023,28.05.2024
GRANE,Utvinning,"Feltet produseres med gassinjeksjon på toppen av strukturen, og horisontale produksjonsbrønner på bunnen av oljesonen. I 2010 avsluttet Grane gassimporten fra Heimdal-senteret, og bare produsert gass fra Grane ble reinjisert i reservoaret. Gassimporten startet igjen i 2014. Grane har begrenset vanninjeksjon. Oljeproduksjonen opprettholdes med gassinjeksjon og boring av nye brønner, blant annet sidestegsbrønner fra eksisterende produsenter.",1035937,28.02.2023,28.05.2024
GRANE,Reservoar,Grane produserer olje med høy viskositet hovedsakelig fra paleocen sandstein i Heimdalformasjonen med meget gode reservoaregenskaper. Feltet består av en hovedstruktur og noen mindre segmenter med full kommunikasjon. Reservoaret ligger på 1700 meters dyp.,1035937,28.02.2023,28.05.2024
GRANE,Status,"Utvinnbare volumer har økt i forhold til estimatene i PUD. Et system for permanent overvåking av reservoaret er installert på havbunnen, dette gir mer detaljerte seismikkdata for å forbedre reservoarstyring. Flere brønner har blitt boret og nye planlegges, for det meste som flergrensbrønner.",1035937,09.12.2023,28.05.2024
GRANE,Utbygging,"Grane ligger i den midtre delen av Nordsjøen like øst for Balder. Vanndybden er 130 meter. Grane ble påvist i 1991, og plan for utbygging og drift (PUD) ble godkjent i 2000. Feltet er bygd ut med en integrert bolig-, bore- og prosessinnretning med stålunderstell. Innretningen har 40 brønnslisser. Produksjonen startet i 2003. Feltene Svalin og Breidablikk er tilknyttet Graneinnretningen.",1035937,09.12.2023,28.05.2024
GUDRUN,Transport,"Ustabilisert olje og rikgass transporteres i separate rørledninger til Sleipner A-innretningen for viderebehandling. Tørrgass eksporteres via Gassled (område D) til markedet, mens oljen transporteres til terminalen på Kårstø.",18116481,28.02.2023,28.05.2024
GUDRUN,Utvinning,Feltet blir hovedsakelig produsert med trykkavlastning. Siden 2022 produseres deler av reservoaret i Draupneformasjonen med vanninjeksjon.,18116481,13.12.2023,28.05.2024
GUDRUN,Utbygging,"Gudrun ligger i den midtre delen av Nordsjøen, 50 kilometer nord for Sleipner Øst. Vanndybden er 110 meter. Gudrun ble påvist i 1975, og plan for utbygging og drift (PUD) ble godkjent i 2010. Feltet er bygd ut med en bunnfast innretning med stålunderstell og boligkvarter og har delvis prosessanlegg. Gudrun er koblet til Sleipner A-innretningen gjennom to rørledninger; en for olje og en for våtgass. Det ble innvilget PUD-fritak for funnet 15/3-9 i 2013. Produksjonen startet i 2014.",18116481,28.02.2023,28.05.2024
GUDRUN,Status,"Produksjonen har begynt å avta. Vanninjeksjon i deler av Draupnereservoaret begynte i 2022. Den andre borekampanjen ble ferdigstilt i 2022, og flere boremål modnes for den tredje kampanjen. Ny 4D-seismikk ble samlet inn i 2023. Gudrun har fleksibilitet for tilknytning av funn i området.",18116481,13.12.2023,28.05.2024
GUDRUN,Reservoar,Gudrun produserer olje og gass fra sandstein av senjura alder i Draupneformasjonen og av mellomjura alder i Huginformasjonen. Reservoarkvaliteten er generelt god i Draupneformasjonen som inneholder mesteparten av de utvinnbare ressursene. Huginformasjonen har mer variabel reservoarkvalitet. Reservoarene ligger på 4000-4700 meters dyp.,18116481,28.02.2023,28.05.2024
GULLFAKS,Utvinning,"Drivmekanismen i hovedreservoarene er primært vanninjeksjon, med gassinjeksjon og vann- alternerende gassinjeksjon (VAG) i noen områder. Opprinnelig var dreneringsstrategien for Shetland/Lista-reservoaret trykkavlastning, men vanninjeksjon er nå implementert som trykkstøtte.",43686,28.02.2023,28.05.2024
GULLFAKS,Transport,Oljen eksporteres fra Gullfaks A og C via lastebøyer til tankskip. Rikgass transporteres i Statpipe for videre behandling på Kårstøterminalen.,43686,28.02.2023,28.05.2024
GULLFAKS,Status,Boring av nye brønner på Gullfaks har vært en utfordring i mange år på grunn av overtrykk i noen områder i Shetland/Lista-intervallet. Produksjon fra Shetland/Lista-reservoarene bidrar gradvis til å redusere overtrykket og gjør det lettere å bore. Tilleggsbrønner bores kontinuerlig fra alle innretningene. Hywind Tampen startet kraftproduksjon i 2022/2023.,43686,13.12.2023,28.05.2024
GULLFAKS,Utbygging,"Gullfaks ligger i Tampen-området i den nordlige delen av Nordsjøen. Vanndybden er 130-220 meter. Gullfaks ble påvist i 1978, og plan for utbygging og drift (PUD) for Gullfaks fase I ble godkjent i 1981. PUD for Gullfaks fase II ble godkjent i 1985. Produksjonen startet i 1986. Feltet er bygd ut med tre integrerte prosess-, bore- og boliginnretninger med betongunderstell (Gullfaks A, B og C). Gullfaks B har et forenklet prosessanlegg med førstestegsseparasjon. Gullfaks-innretningene er involvert i produksjon og transport fra Tordis, Vigdis, Snorre, Visund, Visund Sør og Brime. PUD for Gullfaks Vest ble godkjent i 1993, og for produksjon fra Lundeformasjonen i 1995. En endret PUD for Gullfaks, som dekker prospekter og små funn som kunne bores og produseres fra eksisterende innretninger, ble godkjent i 2005. Endret PUD for Gullfaks, som dekker fase I- og fase II-produksjon fra Shetland/Lista-forekomsten, ble godkjent i henholdsvis 2015 og 2019. En endret PUD for utbygging av Hywind Tampen vindpark ble godkjent i 2020. Vindparken inkluderer 11 flytende turbiner og startet forsyning av innretningene på feltene Gullfaks og Snorre med kraft i 2022/2023. Disse feltene er de første i verden som forsynes med kraft fra en flytende vindpark.",43686,13.12.2023,28.05.2024
GULLFAKS,Reservoar,"Gullfaks produserer olje fra midtre jura sandstein i Brentgruppen, og fra undre jura og øvre trias sandstein i Statfjordgruppen og Cook- og Lundeformasjonene. Det er også utvinnbar olje i oppsprukket kalk og skifer i overliggende Shetlandgruppen og Listaformasjonen. Reservoarene ligger på 1700-2000 meters dyp i roterte forkastningsblokker i vest og i en strukturell horst (hevet forkastningsblokk) i øst, med en forkastningssone i midten. Reservoarkvaliteten er stort sett god til meget god i jura-reservoarene i de enkelte forkastningsblokkene, men dårlig reservoarkommunikasjon er en utfordring for trykkvedlikehold.",43686,28.02.2023,28.05.2024
GULLFAKS SØR,Reservoar,"Gullfaks Sør-forekomstene produserer olje og gass fra midtre jura sandstein i Brentgruppen samt undre jura og øvre trias sandstein i Statfjordgruppen og Cook- og Lundeformasjonene. Reservoarene ligger på 2400-3400 meters dyp i flere roterte forkastningsblokker. Reservoarene i Gullfaks Sør-forekomsten er svært segmenterte med mange interne forkastninger og utfordrende strømningsegenskaper, særlig i Statfjordgruppen og Lundeformasjonen. De øvrige forekomstene i Gullfaks Sør-området har stort sett god reservoarkvalitet.",43699,28.02.2023,28.05.2024
GULLFAKS SØR,Utbygging,"Gullfaks Sør ligger i den nordlige delen av Nordsjøen like sør for Gullfaks. Vanndybden er 130-220 meter. Gullfaks Sør ble påvist i 1978, men omfatter flere funn gjort i årene etter. Gullfaks Sør-forekomstene er bygd ut med i alt 13 havbunnsrammer som er knyttet til Gullfaks A- og Gullfaks C-innretningene. Opprinnelig plan for utbygging og drift (PUD) for Gullfaks Sør fase I ble godkjent i 1996, den omfattet produksjon av olje og gass fra forekomstene Gullfaks Sør, Rimfaks og Gullveig. Produksjonen startet i 1998. PUD for fase II ble godkjent i 1998, og omfattet gassproduksjon fra Brentgruppen i Gullfaks Sør-forekomsten. I 2004 ble Gulltoppfunnet innlemmet i Gullfaks Sør. Gulltopp produseres gjennom en langtrekkende produksjonsbrønn fra Gullfaks A-innretningen. PUD for Skinfaksfunnet og Rimfaks IOR ble godkjent i 2005. En endret PUD for reutbygging av Gullfaks Sør Statfjordformasjonen, med to nye havbunnsrammer, ble godkjent i 2012. PUD for Gullfaks Rimfaksdalen, som inkluderer forekomstene Rutil og Opal, ble godkjent i 2015. Den omfatter en ny havbunnsramme og fire produksjonsbrønner. Siden 2017 har to havbunnskompressorer for våtgass tilknyttet Gullfaks C-innretningen økt gassproduksjonen. Det ble innvilget i 2018 PUD-fritak for noen nærliggende prospekter og mindre funn som kan bores og produseres fra eksisterende innretninger på Gullfaks Sør. PUD-fritak for forekomsten Opal Sør ble innvilget i 2019.",43699,28.02.2023,28.05.2024
GULLFAKS SØR,Status,"Produksjonen avtar, men feltet har fortsatt store gjenværende gassvolumer. Nye brønner blir kontinuerlig boret i området med egen rigg.",43699,13.12.2023,28.05.2024
GULLFAKS SØR,Utvinning,"Brentreservoaret i Gullfaks Sør produseres hovedsakelig med trykkavlastning etter at gassinjeksjonen opphørte i 2009. Trykkstøtte med gassinjeksjon startet for Skinfaks Sør-forekomsten i 2023. Lundeformasjonen i Gullfaks Sør produseres med trykkavlastning, og i tillegg trykkstøtte fra gassinjeksjon. Gasseksport fra Rimfaks startet i 2015, men begrenset gassinjeksjon ble opprettholdt i Brentgruppen til 2018. Gullveig-, Gulltopp- og Rutilforekomstene produseres med trykkavlastning og delvis støtte fra naturlig vanndriv. Skinfaksforekomsten produseres med gassløft. Rutil- og Opalforekomstene produseres med trykkavlastning.",43699,13.12.2023,28.05.2024
GULLFAKS SØR,Transport,"Oljen blir transportert til Gullfaks A-innretningen for behandling, lagring og videre transport med tankskip. Rikgass prosesseres på Gullfaks C og eksporteres gjennom Statpipe til terminalen på Kårstø.",43699,28.02.2023,28.05.2024
GUNGNE,Status,Feltet er i sen halefase. For tiden produserer kun en brønn på feltet. Det er ingen produksjon fra brønnen på Gammahøyden.,43464,09.12.2023,28.05.2024
GUNGNE,Transport,Brønnstrømmen fra Gungne prosesseres på Sleipner A-innretningen. Salgsgass eksporteres fra Sleipner A via Gassled (område D) til markedet. Ustabilt kondensat transporteres i rørledning til terminalen på Kårstø.,43464,28.02.2023,28.05.2024
GUNGNE,Utvinning,Feltet produseres med trykkavlastning,43464,28.02.2023,28.05.2024
GUNGNE,Reservoar,Gungne produserer gass og kondensat hovedsakelig fra trias sandstein i Skagerrakformasjonen med noe bidrag fra midtre jura sandstein i Huginformasjonen og paleocen sandstein i Tyformasjonen. Reservoarkvaliteten er generelt dårligere i Skagerrakformasjonen enn i Hugin- og Tyformasjonene. Reservoarene ligger på 2800 meters dyp.,43464,28.02.2023,28.05.2024
GUNGNE,Utbygging,"Gungne ligger i Sleipnerområdet i den midtre delen av Nordsjøen. Vanndybden er 85 meter. Gungne ble påvist i 1982, og plan for utbygging og drift (PUD) ble godkjent i 1995. Feltet er bygd ut med tre brønner boret fra Sleipner A-innretningen. Produksjonen startet i 1996. PUD-fritak ble innvilget for Skagerrak- og Hodformasjonene i 2000, og for en brønn til Gammahøyden i 2007.",43464,28.02.2023,28.05.2024
GYDA,Utvinning,Feltet ble produsert med vanninjeksjon i tillegg til trykkstøtte fra gasskappen og vannsonen i deler av feltet.,43492,28.02.2023,28.05.2024
GYDA,Utbygging,"Gyda ligger i den sørlige delen av norsk sektor i Nordsjøen, mellom Ula og Ekofisk. Vanndybden er 65 meter. Gyda ble påvist i 1980, og plan for utbygging og drift (PUD) ble godkjent i 1987. Feltet ble bygd ut med en kombinert bore-, bolig- og prosessinnretning med stålunderstell. Produksjonen startet i 1990. PUD for Gyda Sør ble godkjent i 1993.",43492,28.02.2023,28.05.2024
GYDA,Reservoar,Gyda produserte olje fra tre reservoarer i øvre jura sandstein i Ulaformasjonen. Reservoarene ligger på 4000 meters dyp.,43492,28.02.2023,28.05.2024
GYDA,Status,"Gyda ble stengt ned i 2020, og innretningen ble fjernet i 2022.",43492,09.12.2023,28.05.2024
GYDA,Transport,Oljen ble transportert til Ekofisk via oljerørledningen fra Ula og videre via Norpipe til Teesside i Storbritannia. Gassen ble transportert i egen rørledning til Ekofisk for videre transport via Norpipe til Emden i Tyskland. Gasseksporten opphørte i 2016.,43492,28.02.2023,28.05.2024
HALTEN ØST,Utvinning,Utvinningsstrategien er trykkavlastning med naturlig trykkstøtte fra den underliggende vannsonen.,42148955,20.04.2023,28.05.2024
HALTEN ØST,Transport,Olje og kondensat skal fraktes fra Åsgard til markedet med tankskip. Gassen skal eksporteres gjennom Åsgard Transport System (ÅTS) til terminalen på Kårstø.,42148955,20.04.2023,28.05.2024
HALTEN ØST,Status,Halten Øst vil bygges ut i to faser. Produksjon fra første og andre fase er planlagt å starte henholdsvis i 2025 og 2029.,42148955,20.04.2023,28.05.2024
HALTEN ØST,Reservoar,"Reservoarene inneholder hovedsakelig gass og kondensat i undre til øvre jura sandstein i Tilje-, Tofte-, Ile-, Garn- og Melkeformasjonene. De ligger på 2000 til 3000 meters dyp. Felles for alle reservoarene er at volumene er relativt små, men at de har utmerket kvalitet.",42148955,20.04.2023,28.05.2024
HALTEN ØST,Utbygging,"Halten Øst ligger i Norskehavet, like øst for Åsgardfeltet, og består av seks funn: Natalia, Sigrid, Nona, Flyndretind, Gamma and Harepus. Funnene strekker seg over 65 kilometer fra Natalia i nord til Mikkel Sør i sør. Vanndybden er 200-300 meter. Funnene vil bli utviklet sammen, og plan for utbygging og drift (PUD) ble godkjent i februar 2023. Utbyggingskonseptet inkluderer fem havbunnsrammer tilknyttet eksisterende infrastruktur på Åsgardfeltet.",42148955,09.12.2023,28.05.2024
HANZ,Reservoar,Reservoaret inneholder olje med en mindre gasskappe og er i Draupneformasjonen av senjura alder på 2350 meters dyp. Det antas å være i dypmarin sandstein med gode reservoaregenskaper.,25307278,09.12.2023,28.05.2024
HANZ,Utvinning,Feltet produseres med trykkstøtte fra en vanninjeksjonsbrønn med krysstrømning mellom vannsonen i Heimdalformasjonen og oljereservoaret i Draupneformasjonen.,25307278,13.05.2024,28.05.2024
HANZ,Transport,Brønnstrømmen er først prosessert på Ivar Aasen og så transportert til Edvard Grieg for sluttbehandling og eksport.,25307278,13.05.2024,28.05.2024
HANZ,Status,Feltet startet produksjon i april 2024.,25307278,13.05.2024,28.05.2024
HANZ,Utbygging,"Hanz ligger i Nordsjøen, tolv kilometer nord for Ivar Aasen-feltet. Vanndybden er 115 meter. Hanz ble påvist i 1997, og plan for utbygging og drift (PUD) ble godkjent som en del av PUD for Ivar Aasen i 2013. Hanz er bygget ut med havbunnsrammer tilknyttet Ivar Aasen.",25307278,23.05.2024,28.05.2024
HEIDRUN,Status,"Produksjonen fra Heidrun vedlikeholdes på et relativt høyt nivå med kontinuerlig vann- og gassinjeksjon, samt boring av nye produksjons- og injeksjonsbrønner. Flere metoder vurderes for å øke utvinningen av olje og gass, og forlenge levetiden på feltet. Alpha Horst-segmentet ble satt i produksjon i 2022.",43771,13.12.2023,28.05.2024
HEIDRUN,Utbygging,"Heidrun ligger på Haltenbanken i Norskehavet, 30 kilometer nordøst for Åsgard. Vanndybden er 350 meter. Heidrun ble påvist i 1985, og plan for utbygging og drift (PUD) ble godkjent i 1991. Feltet er bygd ut med verdens første flytende strekkstagplattform (TLP) i betong over en stor bunnramme med 56 brønnslisser. I tillegg er det seks havbunnsrammer i den sørlige og nordlige delen av feltet knyttet tilbake til Heidrun TLP. Produksjonen startet i 1995. Lagerskipet Heidrun B har vært forankret permanent ved Heidruninnretningen siden 2015. PUD for Heidrun Nordflanke ble godkjent i 2000. Mariafeltet mottar vann for injeksjon fra Heidrun. Dvalinfeltet har en dedikert gassprosessmodul på Heidrun.",43771,13.12.2023,28.05.2024
HEIDRUN,Reservoar,"Heidrun produserer olje og gass fra undre og midtre jura sandstein i Åre-, Tilje- Ile- og Garnformasjonene. Reservoaret ligger på 2300 meters dyp og er svært forkastet og segmentert. Ile- og Garnformasjonene har god reservoarkvalitet, mens Åre- og Tiljeformasjonene er mer komplekse.",43771,28.02.2023,28.05.2024
HEIDRUN,Transport,Oljen lastes fra lagerskipet Heidrun B over til tankskip og sendes videre til markedet. Gassen eksporteres via Haltenpipe til terminalen på Tjeldbergodden og via Åsgard Transport Systemet (ÅTS) til terminalen på Kårstø. Gassen fra Dvalin eksporteres via Polarled til terminalen på Nyhamna.,43771,13.12.2023,28.05.2024
HEIDRUN,Utvinning,"Trykket opprettholdes ved hjelp av vann- og gassinjeksjon i Ile- og Garnformasjonene. I de mer komplekse delene av reservoaret, i Åre- og Tiljeformasjonene, er hovedstrategien vanninjeksjon. Noen av segmentene produseres også med trykkavlastning.",43771,28.02.2023,28.05.2024
HEIMDAL,Utvinning,Feltet ble produsert med trykkavlastning.,43590,28.02.2023,28.05.2024
HEIMDAL,Utbygging,"Heimdal ligger i den midtre delen av Nordsjøen. Vanndybden er 120 meter. Heimdal ble påvist i 1972, og opprinnelig plan for utbygging og drift (PUD) ble godkjent i 1981. Feltet ble bygget ut med en integrert bore-, produksjons- og boliginnretning med stålunderstell. Produksjonen startet i 1985. Etter at Heimdal Gassenter som omfattet en ny stigerørsinnretning kom i drift, ble Heimdal også et knutepunkt for tørrgasstransport fra Oseberg, i tillegg til å prosessere produksjonen fra felt som Atla, Skirne, Vale, Valemon og Huldra.",43590,26.09.2023,28.05.2024
HEIMDAL,Transport,"Gass fra Heimdal ble transportert gjennom Statpipe via Draupner og Ekofisk til kontinentet. Etter at Heimdal Gassenter ble opprettet, ble også en ny gassrørledning koblet til den eksisterende rørledningen fra Frigg til terminalen Shell-Esso Gas and Liquid (SEGAL) i St. Fergus i Storbritannia. Kondensat ble transportert via rørledning til Braefeltet i britisk sektor og videre til Cruden Bay i Storbritannia. ",43590,09.12.2023,28.05.2024
HEIMDAL,Status,Feltets egen produksjon opphørte i 2020. Heimdal ble brukt som senter for gassprosessering for tilknyttede felt fram til midten av 2023. Disponering av innretningene skal være ferdigstilt innen slutten av 2028.,43590,09.12.2023,28.05.2024
HEIMDAL,Reservoar,Heimdal produserte gass og noe kondensat fra sandstein av paleocen alder i Heimdalformasjonen. Reservoaret ligger i et massivt turbidittsystem på 2100 meters dyp og har god kvalitet.,43590,28.02.2023,28.05.2024
HOD,Status,Hod B startet produksjonen i 2022. Produksjonen fra Hod Sadel-området fortsetter via brønner boret fra Valhall. Den opprinnelige Hodinnretningen venter på disponering innen 2026.,43485,09.12.2023,28.05.2024
HOD,Utvinning,Feltet produseres med trykkavlastning. Gassløft har vært brukt i noen brønner for å øke produksjonen.,43485,28.02.2023,28.05.2024
HOD,Transport,Olje og gass transporteres i en felles rørledning til Valhall for videre behandling. Olje og flytende våtgass (NGL) fra Valhall transporteres via rørledning til Ekofisk-senteret og videre til Teesside i Storbritannia. Gass fra Valhall sendes via Norpipe til Emden i Tyskland.,43485,28.02.2023,28.05.2024
HOD,Reservoar,"Hod produserer olje fra kritt av senkritt alder i Tor- og Hodformasjonene og fra kritt av tidligpaleocen alder i Ekofiskformasjonen. Krittet i Torformasjonen er finkornet og mykt. Betydelig oppsprekking lar olje og vann strømme lettere enn i den underliggende Hodformasjonen. Reservoaret ligger på 2700 meters dyp. Feltet består av tre strukturer: Hod vest, Hod øst og Hod sadel.",43485,28.02.2023,28.05.2024
HOD,Utbygging,"Hod ligger i den sørlige delen av norsk sektor i Nordsjøen, 13 kilometer sør for Valhall. Vanndybden er 72 meter. Hod ble påvist i 1974, og plan for utbygging og drift (PUD) ble godkjent i 1988. Feltet ble opprinnelig bygd ut med en ubemannet brønnhodeinnretning som ble fjernstyrt fra Valhall. Produksjonen startet i 1990. PUD for Hod Sadel-området ble godkjent i 1994. Produksjonen fra den originale Hodinnretningen opphørte i 2013. PUD for reutbygging av feltet ble godkjent i 2020. Utbyggingen består av en ubemannet brønnhodeinnretning (Hod B) tilknyttet Valhall feltsenter.",43485,28.02.2023,28.05.2024
HUGIN,Utvinning,"Langfjellet, Frøy og Rind skal produseres med trykkstøtte ved vanninjeksjon. Frigg Gamma Delta skal produseres med trykkavlastning, og det planlegges reinjeksjon av produsert vann i vannsonen.",42002474,23.08.2023,28.05.2024
HUGIN,Status,Feltet er under utbygging. Hugin bygges ut samordnet med feltene Fulla og Munin i Yggdrasilområdet. Produksjonen er planlagt å starte i 2027. Nærliggende prospekter kan bli testet i en senere borekampanje og produsert gjennom gjenværende brønnslisser.,42002474,09.12.2023,28.05.2024
HUGIN,Reservoar,Reservoarene inneholder olje og gass i sandstein hovedsakelig av eocen alder i Friggformasjonen og av mellomjura alder i Huginformasjonen. De ligger på henholdsvis 1900 og 3500 meters dyp. Huginområdet er geologisk komplekst og forekomstene har varierende reservoar- og væskeegenskaper.,42002474,23.08.2023,28.05.2024
HUGIN,Utbygging,"Hugin ligger i Yggdrasilområdet i midtre Nordsjøen, 20 kilometer øst for Friggfeltet. Vanndybden er 120 meter. Hugin består av tre funn; Frigg Gamma Delta, Rind og Langfjellet. Det første funnet ble gjort i 1986 da Frigg Gamma ble påvist. Plan for utbygging og drift (PUD) ble godkjent i juni 2023. Planen omfatter utbygging av Huginfunnene og gjenutbygging av det nedstengte Frøyfeltet. Utbyggingskonseptet inkluderer en prosessinnretning med boligkvarter, Hugin A, og en normalt ubemannet innretning på Frøy, Hugin B, samt havbunnsrammer tilknyttet Hugin A. Hugin A vil være feltsenteret for Yggdrasilområdet.",42002474,09.12.2023,28.05.2024
HUGIN,Transport,Gassen skal eksporteres gjennom rørledning fra Hugin A til Statpipe og terminalen på Kårstø. Oljen skal eksporteres gjennom rørledning fra Hugin A til Grane oljerør og videre til Stureterminalen.,42002474,23.08.2023,28.05.2024
HULDRA,Status,"Huldra ble stengt ned i 2014, og innretningen ble fjernet i 2019.",97002,09.12.2023,28.05.2024
HULDRA,Utbygging,"Huldra ligger i den nordlige delen av Nordsjøen, 16 kilometer vest for Veslefrikk-feltet. Vanndybden er 125 meter. Huldra ble påvist 1982, og plan for utbygging og drift (PUD) ble godkjent i 1999. Feltet ble bygd ut med en brønnhodeinnretning med et enkelt prosessanlegg, og ble fjernstyrt fra Veslefrikk B. Produksjonen startet i 2001.",97002,28.02.2023,28.05.2024
HULDRA,Transport,Våtgassen ble transportert til Heimdal og kondensatet til Veslefrikk for behandling og eksport.,97002,09.12.2023,28.05.2024
HULDRA,Reservoar,"Huldra produserte gass og kondensat fra sandstein av mellomjura alder i Brentgruppen. Reservoaret er i en rotert forkastningsblokk på 3500-3900 meters dyp, og hadde i starten høyt trykk og høy temperatur (HTHT). Det er mange små forkastninger og to hovedsegmenter uten trykkommunikasjon i reservoaret.",97002,28.02.2023,28.05.2024
HULDRA,Utvinning,Huldra ble produsert med trykkavlastning og lavtrykksproduksjon etter 2007.,97002,28.02.2023,28.05.2024
HYME,Reservoar,Hyme produserer olje og gass fra sandstein av tidlig- og mellomjura alder i Tilje- og Ileformasjonene. Reservoaret ligger på 2150 meters dyp og har god kvalitet.,20474183,28.02.2023,28.05.2024
HYME,Utvinning,Feltet produseres med sjøvannsinjeksjon som trykkstøtte. Produksjonsbrønnen har gassløft.,20474183,28.02.2023,28.05.2024
HYME,Utbygging,"Hyme ligger i den sørlige delen av Norskehavet, 19 kilometer nordøst for Njord. Vanndybden er 250 meter. Hyme ble påvist i 2009, og plan for utbygging og drift (PUD) ble godkjent i 2011. Feltet er bygd ut med en havbunnsramme med en produksjonsbrønn og en vanninjeksjonsbrønn. Hyme er koblet til Njord A-innretningen. Produksjonen startet i 2013 og opphørte midlertidig i 2016 da Njord A ble stengt og slept til land for oppgradering og modifisering. Hyme begynte å produsere igjen i april 2023.",20474183,13.12.2023,28.05.2024
HYME,Status,"Produksjonen er lavere enn antatt, hovedsakelig på grunn av nedetid knyttet til prosessanlegget på Njord. Produksjonsstrategien er å optimalisere dreneringen ved å balansere vanninjeksjon versus trykkutvikling og vanngjennombrudd i produksjonsbrønnen.",20474183,13.12.2023,28.05.2024
